player,ab,slg
Michael Saunders,289,0.36700000000000005
Nate Schierholtz,227,0.366
Brian Schneider,125,0.384
Skip Schumaker,476,0.33799999999999997
Luke Scott,447,0.535
Marco Scutaro,632,0.38799999999999996
Kelly Shoppach,158,0.342
Grady Sizemore,128,0.289
Scott Sizemore,143,0.336
Seth Smith,358,0.469
Justin Smoak,348,0.371
Travis Snider,298,0.46299999999999997
Chris Snyder,319,0.376
Alfonso Soriano,496,0.496
Geovany Soto,322,0.49700000000000005
Denard Span,629,0.348
Ryan Spilborghs,341,0.43700000000000006
Giancarlo Stanton,359,0.507
Nick Stavinoha,121,0.33899999999999997
Ian Stewart,386,0.44299999999999995
Drew Stubbs,514,0.444
Ichiro Suzuki,680,0.39399999999999996
Kurt Suzuki,495,0.366
Mike Sweeney,151,0.444
Ryan Sweeney,303,0.38299999999999995
Nick Swisher,566,0.511
Jose Tabata,405,0.4
Craig Tatum,114,0.316
Mark Teahen,233,0.382
Mark Teixeira,601,0.48100000000000004
Miguel Tejada,636,0.381
Ruben Tejada,216,0.282
Marcus Thames,212,0.491
Ryan Theriot,586,0.312
Josh Thole,202,0.366
Jim Thome,276,0.627
Yorvit Torrealba,325,0.37799999999999995
Andres Torres,507,0.479
Chad Tracy,146,0.322
Matt Treanor,237,0.308
Matt Tuiasosopo,127,0.307
Troy Tulowitzki,470,0.568
Dan Uggla,589,0.508
Justin Upton,495,0.442
Melvin Upton,536,0.424
Juan Uribe,521,0.44
Chase Utley,425,0.445
Luis Valbuena,275,0.258
Wilson Valdez,333,0.36
Danny Valencia,299,0.44799999999999995
Jason Varitek,112,0.473
Will Venable,392,0.408
Dayan Viciedo,104,0.519
Shane Victorino,587,0.429
Omar Vizquel,344,0.331
Joey Votto,547,0.6
Neil Walker,426,0.462
Brett Wallace,144,0.319
Rickie Weeks,651,0.46399999999999997
Vernon Wells,590,0.515
Jayson Werth,554,0.532
Eli Whiteside,126,0.397
Matt Wieters,446,0.377
Ty Wigginton,581,0.415
Josh Willingham,370,0.45899999999999996
Reggie Willits,159,0.302
Jack Wilson,193,0.316
Josh Wilson,361,0.294
Randy Winn,205,0.35600000000000004
Dewayne Wise,112,0.39299999999999996
Brandon Wood,226,0.20800000000000002
Danny Worth,106,0.358
David Wright,587,0.503
Kevin Youkilis,362,0.564
Delmon Young,570,0.493
Delwyn Young,191,0.414
Eric Young,172,0.285
Michael Young,656,0.444
Gregg Zaun,102,0.392
Ryan Zimmerman,525,0.51
Ben Zobrist,541,0.353
