uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
15153931,287340,2011,2011-05-03,143,120,4,0,30,2,48,1,0,0,1,649,2011-05-04 00:06:49,434681,L,6-1,115817,R,0,1,214,,116380.0,429667.0
14372742,286997,2011,2011-04-08,145,139,8,0,68,2,8,1,0,0,2,25036,2011-04-09 02:50:36,493351,R,6-2,459987,L,4,5,559,,,452121.0
15392975,287441,2011,2011-05-11,147,118,9,0,80,4,44,2,1,1,2,23623,2011-05-12 02:36:23,430897,L,6-0,543070,R,2,2,684,,456488.0,
17605684,288395,2011,2011-07-23,109,115,7,0,64,1,27,0,0,0,2,24224,2011-07-24 02:42:24,217100,R,5-11,445590,L,3,8,519,,294558.0,
15870181,287653,2011,2011-05-26,118,110,10,1,78,3,21,2,0,0,2,192033,2011-05-26 19:20:33,456714,R,6-1,276514,R,5,5,629,425796.0,,460086.0
14283958,286960,2011,2011-04-05,146,120,8,0,70,1,25,0,0,0,2,15312,2011-04-06 01:53:12,489149,L,6-3,461325,R,2,2,549,,408299.0,
16087869,287744,2011,2011-06-01,137,138,6,1,48,2,96,1,0,0,1,15625,2011-06-02 01:56:25,453311,L,5-11,150414,R,2,3,385,,,543063.0
16088031,287744,2011,2011-06-01,137,138,11,1,92,4,30,3,0,0,2,34710,2011-06-02 03:47:10,425496,R,5-10,211041,R,6,5,753,,435625.0,
14392576,287007,2011,2011-04-09,119,135,5,1,36,4,82,1,2,0,2,34216,2011-04-10 03:42:16,346874,R,6-0,400291,R,2,0,268,461314.0,,
14644339,287121,2011,2011-04-17,136,118,7,1,51,2,7,0,1,0,1,200605,2011-04-17 20:06:05,333292,R,6-0,502028,R,3,1,407,453895.0,,
14822679,287199,2011,2011-04-23,115,146,9,1,69,3,20,0,2,0,1,15358,2011-04-24 01:53:58,451594,L,6-4,430083,R,3,1,535,,,
17767513,288464,2011,2011-07-28,109,135,4,1,26,1,53,0,0,0,2,202838,2011-07-28 20:28:38,450315,L,6-2,502009,R,2,1,195,,457708.0,
16227252,287800,2011,2011-06-06,116,140,6,1,55,3,24,2,0,0,1,20844,2011-06-07 02:08:44,408234,R,6-4,457779,L,10,5,438,,453269.0,
16096317,287748,2011,2011-06-02,121,134,8,0,73,4,14,3,0,0,1,194335,2011-06-02 19:43:35,502517,L,6-1,407842,R,7,8,602,,489365.0,
15451084,287466,2011,2011-05-13,143,144,1,1,8,3,35,2,0,0,2,234955,2011-05-13 23:49:55,434563,R,5-10,545404,R,3,0,67,,116380.0,450204.0
17872445,288508,2011,2011-07-31,111,145,9,1,79,3,5,2,0,0,1,212433,2011-07-31 21:24:33,425903,R,6-1,349193,L,5,3,685,,408236.0,456030.0
14951843,287254,2011,2011-04-27,108,133,9,0,65,4,19,3,0,0,1,14000,2011-04-28 01:40:00,116338,R,6-2,150118,L,1,1,514,,110029.0,
16818411,288054,2011,2011-06-25,144,135,6,1,41,4,86,3,0,0,2,20621,2011-06-26 02:06:21,435263,L,6-3,400291,R,2,1,324,,518792.0,
17673323,288424,2011,2011-07-25,145,116,5,0,46,1,68,0,0,0,2,14449,2011-07-26 01:44:49,117244,R,6-2,502102,L,2,2,351,,493351.0,
15229250,287371,2011,2011-05-06,114,108,6,1,42,2,82,1,0,0,2,33526,2011-05-07 03:35:26,400098,L,6-3,543022,R,1,0,320,,467793.0,
16514724,287923,2011,2011-06-15,142,145,8,0,61,3,110,2,0,0,2,20446,2011-06-16 02:04:46,501920,L,5-11,425856,R,1,4,441,,502143.0,
16026603,287716,2011,2011-05-31,118,108,7,0,63,1,13,0,0,0,2,21418,2011-06-01 02:14:18,456714,R,6-1,538227,L,3,7,489,,543333.0,
16070279,287736,2011,2011-06-01,109,146,7,0,56,3,9,2,0,0,1,13702,2011-06-02 01:37:02,217100,R,5-11,329092,L,4,3,414,,471083.0,455759.0
